sku,name_ar,name_en,oem,vehicle_models,category_key,cost_rmb,image_file,source_file
GM-11537580969,ماسورة مياه بلوك,Cylinder Block Water Pipe,1153 7580 969,"F02,F18,F07",cooling-system,20,GM-11537580969-1.jpg,CULU6339343
GM-11537592094,HEAT EXCHANGER HOSE,Heat Exchanger Hose,1153 7592 094,,cooling-system,55,GM-11537592094-1.jpg,CULU6339343
GM-11538663516,ماسورة سحب,Turbocharger Intake Pipe,1153 8663 516,"F18,F35,N20",fuel-air-intake,35,GM-11538663516-1.jpg,CULU6339343
GM-13717597586,ماسورة سحب,Intake Pipe,1371 7597 586,"F20,F30,F35",fuel-air-intake,25,GM-13717597586-1.jpg,CULU6339343
GM-22316796617,كرسي فتيس,Transmission Rubber,2231 6796 617,,engine-transmission-mounts,15,GM-22316796617-1.jpg,CULU6339343
GM-31126864821,FRONT WHEEL LOWER CONTROL ARM STRAIGHT L,Front Wheel Lower Control Arm Straight L,3112 6864 821,"X5,F15,F16",suspension,100,GM-31126864821-1.jpg,CULU6339343
GM-31126864822,FRONT WHEEL LOWER CONTROL ARM STRAIGHT R,Front Wheel Lower Control Arm Straight R,3112 6864 822,"X5,F15,F16",suspension,100,GM-31126864822-1.jpg,CULU6339343
GM-31126874341,LOWER CONTROL ARM BUSHING - L,Lower Control Arm Bushing - L,3112 6874 341,,suspension,70,GM-31126874341-1.jpg,CULU6339343
GM-31126874342,LOWER CONTROL ARM BUSHING - R,Lower Control Arm Bushing - R,3112 6874 342,,suspension,70,GM-31126874342-1.jpg,CULU6339343
GM-31126879841,مقص سفلي أمامي شمال,Front Wheel Lower Control Arm L,3112 6879 841,"F55,F56",suspension,185,GM-31126879841-1.jpg,CULU6339343
GM-31126879842,مقص سفلي أمامي يمين,Front Wheel Lower Control Arm R,3112 6879 842,"F55,F56",suspension,185,GM-31126879842-1.jpg,CULU6339343
GM-64219329643,خرطوم تبريد,Coolant Hose,6421 9329 643,"F20,F30",cooling-system,28,GM-64219329643-1.jpg,CULU6339343
GM-11317533879,TIMING CHAIN GUIDE,Timing Chain Guide,1131 7533 879,,engine-components,25,GM-11317533879-1.jpg,CULU6339343
GM-11428585235,مبرد زيت,Oil Cooler,1142 8585 235,,cooling-system,150,GM-11428585235-1.jpg,CULU6339343
GM-11531709232,وصلة ماسورة مياه,Water Pipe Connector,1153 1709 232,E46,cooling-system,12,GM-11531709232-1.jpg,CULU6339343
GM-12617501786,OIL LEVEL SENSOR,Oil Level Sensor,1261 7501 786,"E81,E87",sensors-electrical,60,GM-12617501786-1.jpg,CULU6339343
GM-17127531768,ماسورة مياه علوية,Upper Water Pipe,1712 7531 768,E90,cooling-system,35,GM-17127531768-1.jpg,CULU6339343
GM-17217593856,مبرد زيت الفتيس,Transmission Oil Cooler,1721 7593 856,"X3,F25,F26",cooling-system,145,GM-17217593856-1.jpg,CULU6339343
